region_id,population
272, 1241185
273, 656495
274, 970010
275, 1312520
276, 509567
277, 630514
278, 1202486
279, 856963
280, 829953
281, 1010006
282, 2410845
283, 516805
284, 4830980
285, 1458557
286, 474686
287, 825140
288, 518506
289, 899212
290, 529683
291, 454562
292, 1779822
293, 166003
294, 174312
295, 473240
296, 625963
297, 674991
298, 432292
299, 608787
300, 1172770
301, 386536
302, 723865
303, 330648
99878, 487998
99879, 158803
900483, 1241239
900484, 656515
900485, 970010
900486, 1312279
900487, 509307
900488, 510317
900489, 630639
900490, 1202493
900491, 858028
900492, 829201
900493, 1010827
900494, 2410235
900495, 516816
900496, 4830980
900497, 1433916
900498, 474686
900499, 825815
900500, 518133
900501, 899235
900502, 529683
900503, 454562
900504, 1780037
900505, 166107
900506, 174276
900507, 473418
900508, 625837
900509, 158803
900510, 674991
900511, 432292
900512, 608787
900513, 1172383
900514, 387598
900515, 723865
900516, 330654
304, 6394
305, 79365
306, 24433
307, 13926
308, 23827
309, 46460
310, 216827
311, 164509
312, 141908
313, 30095
314, 18166
315, 16429
316, 50157
317, 7985
318, 105772
319, 57394
320, 21044
321, 39634
322, 40245
323, 64403
324, 45833
325, 97431
326, 27155
327, 17442
328, 33466
329, 14939
330, 20798
331, 11494
332, 55754
333, 11254
334, 42996
335, 154105
336, 10028
337, 12956
338, 945274
339, 17411
340, 112879
341, 546381
342, 923038
343, 433014
344, 4279872
345, 817116
346, 1497023
347, 336555
348, 988261
349, 1007454
350, 1433086
351, 745206
352, 798676
353, 1059773
354, 1206212
355, 1250228
356, 1680075
357, 340414
358, 881040
359, 483956
360, 462493
361, 564021
362, 88579
363, 715202
364, 474473
365, 741796
366, 948806
367, 885316
368, 898782
369, 874195
370, 1297879
371, 350796
372, 2156196
373, 781806
374, 780703
375, 855713
376, 412013
377, 1766096
378, 722376
379, 1057647
380, 561396
381, 245398
382, 800350
383, 100079
384, 1152302
385, 696734
386, 649817
387, 1154903
388, 1101997
389, 51262
391, 26384
392, 9464
393, 21381
394, 21805
395, 14039
396, 8110
397, 10335
398, 649467
399, 1973503
400, 1078887
401, 1378871
402, 422421
403, 1892312
404, 1247671
405, 1684331
406, 3206859
407, 299044
408, 16573563
409, 892490
410, 510636
411, 948363
412, 1200435
413, 637907
414, 923545
415, 833976
416, 3355
417, 2685
418, 1436
419, 944
420, 1327
421, 1582
422, 534
424, 579
425, 332
40206, 1894
40208, 10415
40209, 51969
40210, 7264
40211, 8628
40212, 5838
40213, 3574
429, 17911478
430, 2607176
431, 410871
432, 1140297
433, 645327
434, 3618205
435, 1075724
436, 1331189
437, 584278
438, 748703
439, 345225
440, 393675
441, 1938330
442, 1306288
443, 660330
444, 751040
445, 1393167
446, 763013
447, 520054
448, 411288
449, 3426543
450, 959051
451, 161953
452, 1582656
453, 131312
454, 225013
455, 257866
456, 214003
457, 349535
458, 189559
460, 215835
461, 109483
462, 105149
463, 43635
464, 939503
900833, 969118
900834, 135791
900835, 261338
900836, 270427
900837, 215472
900838, 191343
900839, 266572
900840, 217511
900841, 111446
900842, 46793
900843, 111194
465, 115263
70036, 1194956
70037, 185254
900005, 641906
467, 0
468, 356572
470, 6741109
471, 205405
472, 814
473, 4246681
474, 1578287
475, 472829
476, 5319773
477, 2196199
478, 351817
479, 556257
480, 1690526
481, 1450407
482, 539440
483, 1243721
484, 756677
485, 389272
486, 1825538
493, 1675073
516, 1273734
528, 483338
534, 1624014
536, 908055
541, 426898
558, 600079
147298, 2009930
147299, 317426
147302, 267440
147306, 655378
561, 353248
562, 215777
563, 33571
564, 171
565, 7776
566, 106439
567, 180573
568, 268579
569, 132207
570, 86731
571, 260233
572, 128586
573, 245091
575, 8310235
576, 31920452
577, 57322532
578, 16459322
579, 20613574
580, 12100613
61363, 17637100
900396, 379721
900397, 8111123
900398, 31856028
900399, 45248260
900400, 16609495
900401, 12094344
900402, 20676144
900403, 17685506
900404, 12080382
581, 43164
582, 5025
583, 23526
584, 36890
585, 11271
586, 6144
587, 12455
588, 77673
589, 13269
590, 34169
591, 18329
593, 1329592
594, 1361740
595, 975023
596, 2592442
597, 828570
598, 987604
599, 1104129
600, 1250852
